id,code,llsoa,mlsoa,reference_area,owned_hh,male,christian,density,gt_3bedrooms,mainlanguage_english,lone_parent,gt_2people_per_hh,full_time_worker,gte_lvl4_education,verygood_health,good_health,white,uk_citizen,avg_age,avg_hh_income,satisfaction,worthwhile,happy_yesterday
2327,CM11 2PR,6303237,6279680,Basildon_009C,0.8364779874213837,0.48627450980392156,0.6542483660130719,35.6,0.1871069182389937,0.9871273712737128,0.3498799039231385,0.13836477987421383,0.7506142506142506,0.24979983987189752,0.48169934640522877,0.361437908496732,0.9392156862745098,0.9535947712418301,40.5640522875817,770,,7.77,7.35
2328,CM11 2PT,6303235,6279680,Basildon_009B,0.9235772357723577,0.48055372445616346,0.6967699406723797,3.5,0.27154471544715447,0.9925119128658951,0.3434747798238591,0.14634146341463414,0.6883852691218131,0.20256204963971178,0.48253131179960446,0.34673698088332233,0.9571522742254449,0.966381015161503,43.299934080421885,770,,7.88,7.47
2329,CM11 2PX,6303235,6279680,Basildon_009B,0.9235772357723577,0.48055372445616346,0.6967699406723797,3.5,0.27154471544715447,0.9925119128658951,0.3434747798238591,0.14634146341463414,0.6883852691218131,0.20256204963971178,0.48253131179960446,0.34673698088332233,0.9571522742254449,0.966381015161503,43.299934080421885,770,,7.88,7.47
2330,CM11 2PP,6303235,6279680,Basildon_009B,0.9235772357723577,0.48055372445616346,0.6967699406723797,3.5,0.27154471544715447,0.9925119128658951,0.3434747798238591,0.14634146341463414,0.6883852691218131,0.20256204963971178,0.48253131179960446,0.34673698088332233,0.9571522742254449,0.966381015161503,43.299934080421885,770,,7.88,7.47
2331,CM12 0PS,6303228,6279672,Basildon_001D,0.9224683544303798,0.4935400516795866,0.686046511627907,52.0,0.31645569620253167,0.9725201072386059,0.32532051282051283,0.16455696202531644,0.7015113350125944,0.35027799841143764,0.48643410852713176,0.38824289405684753,0.9302325581395349,0.9347545219638242,41.405684754521964,1150,,7.84,7.44
2332,CM12 0PR,6303228,6279672,Basildon_001D,0.9224683544303798,0.4935400516795866,0.686046511627907,52.0,0.31645569620253167,0.9725201072386059,0.32532051282051283,0.16455696202531644,0.7015113350125944,0.35027799841143764,0.48643410852713176,0.38824289405684753,0.9302325581395349,0.9347545219638242,41.405684754521964,1150,,7.84,7.44
2333,CM12 0PP,6303228,6279672,Basildon_001D,0.9224683544303798,0.4935400516795866,0.686046511627907,52.0,0.31645569620253167,0.9725201072386059,0.32532051282051283,0.16455696202531644,0.7015113350125944,0.35027799841143764,0.48643410852713176,0.38824289405684753,0.9302325581395349,0.9347545219638242,41.405684754521964,1150,,7.84,7.44
2334,CM12 9DP,6303231,6279675,Basildon_004B,0.9333333333333333,0.4967628016480283,0.6774573278399059,9.3,0.4474074074074074,0.9848116646415553,0.25401459854014596,0.1688888888888889,0.6586345381526104,0.3467153284671533,0.5320776927604474,0.3437316068275456,0.9323131253678635,0.9399646851088875,43.43437316068275,780,,7.97,7.63
2335,CM12 9DR,6303231,6279675,Basildon_004B,0.9333333333333333,0.4967628016480283,0.6774573278399059,9.3,0.4474074074074074,0.9848116646415553,0.25401459854014596,0.1688888888888889,0.6586345381526104,0.3467153284671533,0.5320776927604474,0.3437316068275456,0.9323131253678635,0.9399646851088875,43.43437316068275,780,,7.97,7.63
2336,CM12 0BG,6303217,6279674,Basildon_003A,0.946360153256705,0.49757449757449757,0.7214137214137214,24.9,0.4444444444444444,0.9892318736539842,0.23842794759825328,0.15708812260536398,0.7057926829268293,0.37292576419213974,0.5606375606375607,0.32224532224532226,0.9362439362439362,0.9473319473319474,41.52945252945253,800,,8.01,7.67
2337,CM12 0AH,6303225,6279674,Basildon_003E,0.8006088280060882,0.49460188933873145,0.6950067476383266,25.6,0.3181126331811263,0.9771151178918169,0.34201954397394135,0.1324200913242009,0.7096774193548387,0.34364820846905536,0.47300944669365724,0.3690958164642375,0.9197031039136302,0.9278002699055331,45.19298245614035,800,,7.89,7.54
